age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
18 - 24,Undergraduate (pursuing),Student,Karnataka,Often (weekly),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,3,4,4,4,2,4,5,5,4,5,5,5,5,5,5,5,5,4,4,3,21,Younger,2,4,4,3.8,4,3.4,4.6,5,4.2
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,4,4,5,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,2,4,4,2,3,3,4,3,4,3,4,4,4,3,4,4,21,Younger,2,5,4.2,3.4,4,3.4,3.2,3.6,3.8
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,4,4,5,2,3,5,5,5,5,4,2,2,2,2,2,5,5,4,5,5,4,5,4,4,4,4,4,4,4,4,21,Younger,2,5,5,3.6,4.8,2,4.8,4.2,4
18 - 24,Undergraduate (pursuing),Student,"Bengaluru, Karnataka",Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,4,4,4,3,2,4,5,5,5,3,3,4,3,5,3,5,5,5,5,5,4,4,5,3,3,5,5,5,4,5,21,Younger,2,5,5,3.4,4.4,3.6,5,3.8,4.8
18 - 24,Undergraduate (pursuing),Student,NA,Always (daily),"Yes, regularly",Urban metro city,5,5,4,4,4,5,3,5,2,3,1,1,2,2,2,5,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,21,Younger,2,5,4.4,3.6,1.6,4.2,5,4.6,4.2
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,5,5,4,4,5,4,4,5,4,4,5,5,4,4,5,2,1,2,1,2,5,5,5,5,5,4,4,5,3,5,5,5,5,4,5,21,Younger,2,4,4.6,4.2,4.6,1.6,5,4.2,4.8
25 - 34,Postgraduate,Employed (private sector),Mumbai,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,2,2,2,1,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,29,Older,4,5,5,4.8,4.8,1.8,5,4.8,5
25 - 34,Postgraduate,Student,Chennai,Often (weekly),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,1,2,1,2,1,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,29,Older,4,4,5,4.8,4.4,1.4,4.8,4.4,5
35 - 44,Postgraduate,Employed (government),Hyderabad,Always (daily),"Yes, regularly",Urban metro city,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,2,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,39,Older,4,5,4.8,5,4.6,1.6,5,5,5
18 - 24,Undergraduate (pursuing),Student,Pune,Often (weekly),"Yes, regularly",Urban metro city,4,4,5,4,4,4,3,5,4,3,5,5,4,5,4,2,2,3,2,2,5,5,4,5,4,5,5,5,4,5,5,4,5,4,5,21,Younger,2,4,4.2,3.8,4.6,2.2,4.6,4.8,4.6
