Timestamp,What is your age group?,What is your highest level of education?,What is your current occupation?,Which state/city do you currently live in?,How often do you currently practice recycling or waste segregation at home?,Do you have access to formal recycling or waste collection infrastructure in your locality?,What type of area do you live in?,I am very concerned about the current state of the environment in India.,I believe that environmental pollution caused by improper waste disposal is a serious problem.,I feel that humans are severely abusing the environment.,The increasing amount of waste and garbage in my city worries me.,I believe that protecting the environment is one of the most urgent issues of our time.,"I am aware of what ""circular economy"" or ""zero waste"" means in everyday life.","I am aware of government schemes in India that promote recycling (e.g., Swachh Bharat Mission, Extended Producer Responsibility rules).","I know how to properly segregate waste into categories like dry, wet, and hazardous.",I have seen or heard government campaigns that encourage people to recycle in the last 6 months.,I understand what happens to my waste after it is collected from my home.,"If I received cash rewards or discounts for returning recyclable items, I would do it more regularly.",Government subsidies or reduced utility bills for households that recycle would motivate me to recycle more.,Financial penalties (fines) for not segregating waste would make me more likely to separate my waste properly.,"If there were monetary benefits linked to returning e-waste (old phones, batteries) properly, I would actively participate.",I think a deposit-refund system (where you pay extra when buying and get it back when you return the package) would increase my recycling behavior.,I am worried that recycling apps or government waste-tracking systems would collect too much personal data about me.,I would hesitate to register on a government recycling platform because of concerns about how my data would be used.,I do not trust that my personal information shared on recycling apps would remain private.,"The requirement to provide personal details (address, phone number) to access recycling services concerns me.",I feel that using smart waste-bin systems that track which household generates what waste is an invasion of my privacy.,I think recycling is a good habit to practice regularly.,Segregating and recycling waste is a worthwhile activity.,I have a positive attitude towards policies that promote circular economy practices in India.,I believe recycling contributes meaningfully to solving environmental problems in India.,I feel proud when I recycle or properly dispose of my waste.,I have the knowledge and skills needed to segregate and recycle waste correctly.,Recycling is something that is easy for me to do given where I live and work.,I am confident that I could recycle regularly even if there were minor inconveniences involved.,"The infrastructure available in my area (bins, collection points) makes it possible for me to recycle easily.",I feel that whether or not I recycle is entirely within my control.,I intend to recycle or properly segregate my waste regularly in the next 3 months.,I plan to increase my recycling activities in the coming months.,I would actively participate in a government recycling program if one were launched in my area.,I am willing to make extra effort to find proper recycling facilities rather than throwing recyclable items in regular bins.,"I will recommend recycling practices to people around me (family, friends, neighbors)."
4/19/2026 19:08:57,18 - 24,Undergraduate (pursuing),Student,Karnataka,Often (weekly),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,3,4,4,4,2,4,5,5,4,5,5,5,5,5,5,5,5,4,4,3
4/19/2026 19:34:31,18 - 24,Undergraduate (pursuing),Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,4,4,5,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,2,4,4,2,3,3,4,3,4,3,4,4,4,3,4,4
4/19/2026 19:34:38,18 - 24,Undergraduate (pursuing),Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,4,4,5,2,3,5,5,5,5,4,2,2,2,2,2,5,5,4,5,5,4,5,4,4,4,4,4,4,4,4
4/19/2026 19:42:15,18 - 24,Undergraduate (pursuing),Student,"Bengaluru, Karnataka ",Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,4,4,4,3,2,4,5,5,5,3,3,4,3,5,3,5,5,5,5,5,4,4,5,3,3,5,5,5,4,5
4/19/2026 19:47:30,18 - 24,Undergraduate (pursuing),Student,,Always (daily),"Yes, regularly",Urban metro city,5,5,4,4,4,5,3,5,2,3,1,1,2,2,2,5,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5
4/19/2026 22:07:42,18 - 24,Undergraduate (pursuing),Student,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,5,5,4,4,5,4,4,5,4,4,5,5,4,4,5,2,1,2,1,2,5,5,5,5,5,4,4,5,3,5,5,5,5,4,5
4/19/2026 22:13:21,25 - 34,Postgraduate,Employed (private sector),Mumbai,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,2,2,2,1,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
4/19/2026 22:14:04,25 - 34,Postgraduate,Student,Chennai,Often (weekly),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,1,2,1,2,1,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5
4/19/2026 23:10:04,35 - 44,Postgraduate,Employed (government),Hyderabad,Always (daily),"Yes, regularly",Urban metro city,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,2,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/19/2026 23:10:37,18 - 24,Undergraduate (pursuing),Student,Pune,Often (weekly),"Yes, regularly",Urban metro city,4,4,5,4,4,4,3,5,4,3,5,5,4,5,4,2,2,3,2,2,5,5,4,5,4,5,5,5,4,5,5,4,5,4,5
